,Cook,Harris,Los Angeles,New York,Orange
2020_7_01,0.574770052873704,0.5514866364544674,0.5737668694614931,0.5923444304340781,0.5794025309648465
2020_7_02,0.5716218223169409,0.5479229750529996,0.5673103437238872,0.5916255048612968,0.5836224764140227
2020_7_03,0.5746775540807858,0.5538393938603148,0.5747253671224655,0.5971142537467699,0.5867139466381281
2020_7_04,0.5815224584224598,0.5640451449109283,0.5811366090085901,0.6067708985265495,0.6011318581917968
2020_7_05,0.5705818686971234,0.5487890102432778,0.5697420556539453,0.5939047244079806,0.5861392836468885
2020_7_06,0.5632689657916691,0.5389617417420466,0.5662457157871079,0.5822440934769699,0.5676061820603907
2020_7_07,0.5615075622032866,0.5437023131195601,0.5683712623797392,0.5857899676120154,0.5771333709818935
2020_7_08,0.5687028784990344,0.5470278962223596,0.5693890744137906,0.5954096165836411,0.576039433338733
2020_7_09,0.5704052454156971,0.5476563156247278,0.5705309545002684,0.5909385593891008,0.5740014079629123
2020_7_10,0.5714018569249718,0.551868543739837,0.5709712646446412,0.5907769403925949,0.5807141955014633
2020_7_11,0.5707569859405814,0.5433113743962605,0.5717048246369139,0.5907363986870894,0.5816474047732695
2020_7_12,0.5753496076443056,0.5471838381022512,0.570184508037173,0.5988287366473768,0.5800954109271521
2020_7_13,0.5614459295268136,0.54407622987624,0.5613002505467264,0.5821831055541798,0.5647742390343956
2020_7_14,0.5675931010179639,0.5439229584943948,0.5612306606592083,0.5863721637021636,0.5702807824056051
2020_7_15,0.5652681956007568,0.5475373657844987,0.5666605055498093,0.5868875651870786,0.5777074542745816
2020_7_16,0.5653564560168468,0.5497082743423298,0.5709302687330428,0.588902960659393,0.5787888490243333
2020_7_17,0.5735519080402939,0.5484047250675127,0.5767682190800516,0.598514013193848,0.5881763405554313
2020_7_18,0.5673838037845521,0.5526081395232815,0.5760579082452322,0.5925470778331258,0.5887461465140311
2020_7_19,0.5658995281116711,0.545729854559026,0.5714927375333514,0.5906658360100618,0.5856645190389093
2020_7_20,0.5624356339892664,0.5473408599084094,0.5708773238777191,0.5911065776516731,0.5859067148104726
2020_7_21,0.562964612747277,0.5480506435292376,0.5715908145801059,0.5859853169095535,0.5844483838690117
2020_7_22,0.5654572552845526,0.5502910921464941,0.5709293948387091,0.5855026685099387,0.5846769971089467
2020_7_23,0.5726112416762026,0.5484871577209695,0.5702098231368912,0.5914233360729226,0.578194622698952
2020_7_24,0.5695699457428584,0.5550275733221641,0.57694761796932,0.5884151337780645,0.5825408100386099
2020_7_25,0.5697656385617211,0.5550458230963186,0.5763757398256156,0.5962106793622675,0.5857199305375523
2020_7_26,0.5684587889839714,0.548920559299407,0.5763665828233578,0.5932665436985133,0.5910665847661624
2020_7_27,0.562289882122056,0.5432278102009758,0.5714688472177863,0.5826498501891983,0.5769778803418804
2020_7_28,0.5642841005868056,0.5548421853503813,0.5708465331022106,0.5858987439268142,0.5775566551621094
2020_7_29,0.5646418983648233,0.5549571727645016,0.5768147962515381,0.5849700579029733,0.5832205306522065
2020_7_30,0.5731503410217966,0.5480529734168798,0.5498685329079722,0.599897083664122,0.5802745114648338
2020_7_31,0.575737252843131,0.5529765293222749,0.5764541725702912,0.5929817702377367,0.5793527903153822
