,Cook,Harris,Los Angeles,New York,Orange
2020_8_01,0.5674457285360086,0.5622843130044387,0.5783572038659226,0.5979967724328523,0.5843035985362092
2020_8_02,0.5675425532326508,0.5561049539910362,0.5763777606592994,0.5955129724106738,0.5847579775195114
2020_8_03,0.5666844272642263,0.5522859946988437,0.5728432001393977,0.5893457217384228,0.5773093559239393
2020_8_04,0.562640647485353,0.5507375714964118,0.5601645195341839,0.5787331198750487,0.5725233591612015
2020_8_05,0.5640851053591789,0.551351441132714,0.5731278926868231,0.589785999349699,0.5796005462865471
2020_8_06,0.5728372412499265,0.5555926979187021,0.5730384890936434,0.5840588438488297,0.5739764227007412
2020_8_07,0.5743019105952781,0.5517537943271882,0.5728139637410329,0.5908046796379445,0.5868152871950744
2020_8_08,0.5777263334579438,0.5535962614814413,0.576471710545921,0.5932250426625777,0.5890654370125468
2020_8_09,0.57209212287113,0.5541999960362063,0.5775129893897125,0.5926668871014349,0.576686820244169
2020_8_10,0.5333921638163375,0.5532949291094608,0.5703237332823333,0.5858366025531185,0.5831110594695047
2020_8_11,0.5586899277270144,0.5567478502061605,0.5734381068977545,0.5889434715537727,0.5838392968039875
2020_8_12,0.5663035214383748,0.5539894338023978,0.5724651331393825,0.5908540473978425,0.578368246041775
2020_8_13,0.5679843089435631,0.5549996887630959,0.570843496043864,0.5862315437822478,0.5810591480263156
2020_8_14,0.5690523578481237,0.5540277166008101,0.567334367435125,0.5881838140628867,0.5793841045162299
2020_8_15,0.5737780579901773,0.5561032419292742,0.5731073012077346,0.5912525704012782,0.5840149558519929
2020_8_16,0.5640944802398988,0.5426619416869332,0.5677072002103151,0.5831359017085622,0.5734155883823651
2020_8_17,0.5767498409931001,0.5523126792961397,0.5672545952363114,0.5963525101738198,0.5762853781759208
2020_8_18,0.5693101982474109,0.5527367528779736,0.5666659694434809,0.5900961593504374,0.5811052729463606
2020_8_19,0.5682181936312273,0.5584993247624099,0.5658518207342076,0.5935435481252689,0.5790372247262903
2020_8_20,0.5782287863687778,0.5570549107212474,0.5703084216609956,0.5950370691321859,0.5812551452485745
2020_8_21,0.5722854600609423,0.5535117504806978,0.5760936740151087,0.6028015725824377,0.5798258692383362
2020_8_22,0.5772923483334328,0.5571578702165809,0.5770972548250248,0.5982909791645278,0.5831416784149328
2020_8_23,0.5738784564610543,0.5513851587683033,0.5735324112663172,0.5990565223594007,0.5803685968735913
2020_8_24,0.5658693470070639,0.5423464801447831,0.5697627002323581,0.5949271038449161,0.571741719063283
2020_8_25,0.5663142832303156,0.5422214456679927,0.5701068127875397,0.5850886677398114,0.5791743609655274
2020_8_26,0.5679029544972951,0.5377465508435508,0.5673425849863688,0.5897739378960709,0.5749157481008164
2020_8_27,0.5570983578398003,0.538649484474464,0.5658123012129068,0.5823905100931097,0.5705161320163994
2020_8_28,0.5647466175982825,0.5428837138157893,0.5640564589916945,0.5874718010081917,0.5710044906700062
2020_8_29,0.548207579899622,0.5252013041814991,0.5427510499679213,0.5696741272637879,0.5553634208431483
2020_8_30,0.5711359583075759,0.5513846214573679,0.5715275725488081,0.5898519456023927,0.5763822207386855
2020_8_31,0.5730110103755266,0.5481277991598842,0.5735955443212254,0.591080586144029,0.5858230093162669
