,Cook,Harris,Los Angeles,New York,Orange
2019_5_01,0.5738168174244563,0.5420933248985527,0.5737726678714162,0.6057904129300893,0.5926403193176628
2019_5_02,0.5755844148669939,0.5446049696957904,0.5772176428791314,0.6153074858822021,0.5929857195477328
2019_5_03,0.5855049495308499,0.551224947500579,0.5817792715939605,0.6152003942241078,0.5955354914870816
2019_5_04,0.5918039528142399,0.5585579051067546,0.5829207714608137,0.6195039569996244,0.602993267349711
2019_5_05,0.579982943050346,0.5532170066572352,0.5797384389657951,0.6112093808759201,0.5908686635673046
2019_5_06,0.5684233240541802,0.5407142550844127,0.5675530142389179,0.6059391879686356,0.5741507172894388
2019_5_07,0.5671584818588352,0.5395133894172984,0.5735344198215343,0.6105005920732457,0.5853076319089638
2019_5_08,0.5688707358449849,0.5330869924074654,0.5713187358022851,0.6036344066432666,0.583171004502194
2019_5_09,0.5730484455086717,0.527825580872572,0.570605950242055,0.605884751690537,0.5814523956319957
2019_5_10,0.5803235665675138,0.5269835873752372,0.5768746622334657,0.6073042113934182,0.5918090724078116
2019_5_11,0.5750006312620644,0.5318991954409821,0.5775434891728921,0.6164101738222849,0.5919680045148121
2019_5_12,0.5877811633592858,0.5645187098926597,0.5885490721469163,0.623463923910426,0.596417261357228
2019_5_13,0.5602775904026669,0.5342884826367058,0.5642621605187538,0.5882441959606982,0.5666733431006928
2019_5_14,0.5756367903042905,0.5447935499828365,0.5748106443121216,0.6096673461721142,0.5853284771935933
2019_5_15,0.5672147421159929,0.5412233465302976,0.567713292818665,0.6034305707886733,0.5764636674824977
2019_5_16,0.5662111355998095,0.5419649716001355,0.5686678382125784,0.6021571689576398,0.5779294061463632
2019_5_17,0.5743991739308534,0.5454468810546581,0.575048406451612,0.6053393995587741,0.5892065734273375
2019_5_18,0.5772771830052988,0.5581147973127892,0.5849144208302949,0.6189193509362867,0.6001464693915525
2019_5_19,0.5763872340322965,0.5503675002555364,0.5791305203912391,0.616154696074487,0.5967867013010052
2019_5_20,0.5663678102579429,0.5379785176620261,0.5669670326879507,0.5946640734807358,0.5804211240712347
2019_5_21,0.56972038028289,0.5443064997256861,0.5710673113988046,0.6150790111392176,0.5948897213384842
2019_5_22,0.5713316780967794,0.5451185236410419,0.5672721987743662,0.6140160730789892,0.5849168518435875
2019_5_23,0.5747825041962553,0.5424253174352717,0.5715547745401862,0.6129187558887479,0.577239999713204
2019_5_24,0.5764283305160139,0.5518164876011383,0.5805853063255908,0.6211743681611123,0.5900500404235939
2019_5_25,0.5796017157112104,0.5520642856722067,0.579352648442045,0.6190588972456293,0.5937334138134939
2019_5_26,0.5700872139585157,0.5468900174137926,0.5794593380163553,0.6111258324349504,0.5950077687583104
2019_5_27,0.5611539529121993,0.5445315929233215,0.5757403592474043,0.6186724639525587,0.5885839455799373
2019_5_28,0.5632510004783771,0.5337893193102602,0.5726902175227192,0.6002064436913982,0.5820255750767932
2019_5_29,0.5637362163813628,0.5390727221974917,0.5753609183490851,0.6016868731711573,0.5832894268692799
2019_5_30,0.5696212508372545,0.54279431111993,0.5736442955327651,0.6041380124262321,0.5882109604966759
2019_5_31,0.5749249080904475,0.549330031147598,0.5817987962328763,0.6154488034888159,0.5915245984449198
