,date,avg_sent_score
0,2019_1_01,0.6237153161744785
1,2019_1_02,0.5810992365509762
2,2019_1_03,0.571808861288331
3,2019_1_04,0.5708425383667636
4,2019_1_05,0.5740141971183015
5,2019_1_06,0.5709625703570358
6,2019_1_07,0.5732919876334426
7,2019_1_08,0.5766159016740621
8,2019_1_09,0.5699721559472687
9,2019_1_10,0.5697023738483521
10,2019_1_11,0.5788028228112841
11,2019_1_12,0.5781791055503664
12,2019_1_13,0.5758044703584081
13,2019_1_14,0.5675051866879659
14,2019_1_15,0.5747410474122141
15,2019_1_16,0.567286631749794
16,2019_1_17,0.5663631320697955
17,2019_1_18,0.5737130316383622
18,2019_1_19,0.5818543013283739
19,2019_1_20,0.5663668459336503
20,2019_1_21,0.567604358225875
21,2019_1_22,0.576898517618287
22,2019_1_23,0.574967433512644
23,2019_1_24,0.5819250574882214
24,2019_1_25,0.5879433284753364
25,2019_1_26,0.5966532488873839
26,2019_1_27,0.5933370182238065
27,2019_1_28,0.5831608183227557
28,2019_1_29,0.5751808371630359
29,2019_1_30,0.5758972943402014
30,2019_1_31,0.5731410913602755
