,Cook,Harris,Los Angeles,New York,Orange
2019_3_01,0.5748869253499872,0.5500357226704793,0.577249951084975,0.6034905715192632,0.5839414129686208
2019_3_02,0.572578165546106,0.5471966311266229,0.5697855798534227,0.6088227349938945,0.5841324794733566
2019_3_03,0.5655581516194647,0.5435112457239215,0.5675250586651275,0.600341425454545,0.5804763596265843
2019_3_04,0.556722468091485,0.5303609494899922,0.5624219603769023,0.587934053569072,0.5694470619576797
2019_3_05,0.5615099728447361,0.5371324976479407,0.5622480603540021,0.5968173030379849,0.5678903849157918
2019_3_06,0.5687383165085037,0.544004203351104,0.5579732833231785,0.5955348118059112,0.5732434186800544
2019_3_07,0.5753113129877818,0.5565805371378217,0.5815600251382277,0.6125725891317125,0.593777103213881
2019_3_08,0.5897988126582276,0.5759479565867401,0.6020393039858363,0.6393127160941173,0.6209314672152733
2019_3_09,0.5925617247976916,0.5661171129939891,0.5954049040281154,0.6317907875069031,0.6178721497998454
2019_3_10,0.5781488263963481,0.5590912860693348,0.5916766118695634,0.6182119383553045,0.6098568632163994
2019_3_11,0.5735650383844709,0.5509069096679399,0.5904512731472021,0.6192114103370548,0.603682614468085
2019_3_12,0.582139063124274,0.55362428716178,0.5851814032022258,0.6083087114847261,0.5947290687838431
2019_3_13,0.5639487294662308,0.5453450348750926,0.5729043590888978,0.5893404486834782,0.5818003293526935
2019_3_14,0.5760949349277528,0.5452594707337564,0.5874338320405847,0.6182103186910747,0.6018672867584676
2019_3_15,0.570142311951692,0.5400380894602632,0.5747293373227924,0.6087377172290237,0.5897264852195945
2019_3_16,0.60458086559466,0.5590463310803444,0.5976859771259547,0.6268896018768201,0.6107211725749901
2019_3_17,0.5858268832250626,0.5527608835404538,0.5901241296961851,0.621038260611405,0.6061542995560701
2019_3_18,0.5795719296294284,0.541669670493427,0.580170178485,0.6093063217308503,0.5968153951247528
2019_3_19,0.5745283563363991,0.5451132381351979,0.5817363370669502,0.6020941276317698,0.5941409478566223
2019_3_20,0.5760530912319309,0.5445698389779122,0.5813363700999993,0.6167186040850829,0.5929029302007026
2019_3_21,0.578811850385629,0.5429049516693162,0.5844733406286982,0.6101246734124843,0.5956980750769945
2019_3_22,0.5816633306239317,0.5557979497972663,0.5824501775019577,0.6077326497697949,0.5938834212812159
2019_3_23,0.5834494833972547,0.5527236758617624,0.5852736624491238,0.6183166037397245,0.6018673192978223
2019_3_24,0.582660555228874,0.5499076841334342,0.5827667158945141,0.6166221077591197,0.5943466910889921
2019_3_25,0.5776393290790937,0.5389952497294754,0.5793468043116268,0.6030354916955188,0.5933663460905078
2019_3_26,0.5729739353321572,0.5395157654712396,0.5745973009674229,0.5993539075972597,0.5866411784183642
2019_3_27,0.5750387524992425,0.5459831586232087,0.5771362488991072,0.6017258481629425,0.591236865481159
2019_3_28,0.5840693110565338,0.5501378803149605,0.5817010806866298,0.6099150618684702,0.5935985736412893
2019_3_29,0.5754896974329934,0.5490744326927013,0.5826046037778356,0.6086334325926571,0.5973851419651659
2019_3_30,0.5783766775672056,0.5456293554968195,0.5823336982393625,0.6162169672921689,0.6007128725048648
2019_3_31,0.5688431732527504,0.5409448591392084,0.5765175297943544,0.6035873725267227,0.6011382251229218
