,Cook,Harris,Los Angeles,New York,Orange
2020_11_01,0.5820356024989279,0.553970586239249,0.5825920142032728,0.60397733177117,0.6007001495140277
2020_11_02,0.5632180651266676,0.5443630223880596,0.5684707056405303,0.5909549530182026,0.5845270095370692
2020_11_03,0.5764386273341278,0.5488155160389369,0.5744947574573647,0.5990407857436678,0.5902802131308784
2020_11_04,0.5428859227373066,0.5282316020629745,0.5451082894590948,0.5653190440821549,0.5539743273492568
2020_11_05,0.5640376543820809,0.5431266647757114,0.5651167056295057,0.5856148720675105,0.5710713396255606
2020_11_06,0.5699422605915614,0.5472902359020352,0.5743605677283857,0.5936293153380423,0.584455231558352
2020_11_07,0.5882592650791452,0.5644744814732731,0.5862006194485624,0.6171236831387872,0.5926458733946917
2020_11_08,0.5730669180597292,0.5524443022143815,0.5780913924624197,0.6062831658567625,0.5881175036677708
2020_11_09,0.5681508408045974,0.5410758167845352,0.5664609545342276,0.5951521092163756,0.5829511069005686
2020_11_10,0.5644280552474398,0.5431900472272867,0.5663179547418743,0.5857522437923247,0.5766201051124742
2020_11_11,0.5731807894648452,0.543642129090225,0.5755388340410633,0.5904754506019365,0.5948391476222369
2020_11_12,0.5737269935724651,0.5444665969816916,0.5702536087415253,0.5831816767859448,0.5826828382225768
2020_11_13,0.5710353056184396,0.548662665282104,0.5717617318253498,0.5911608402803169,0.5833437252089229
2020_11_14,0.5812901509838777,0.5516139294705391,0.5750368393391533,0.5880212120094421,0.5851324829936851
2020_11_15,0.5689265440801342,0.5478153768499997,0.5705626361630667,0.5851258732821042,0.5777027363541973
2020_11_16,0.5669904345199692,0.5396736730496798,0.568290364469257,0.5806607888927214,0.5790528970546588
2020_11_17,0.5663939071324869,0.547794564706369,0.5711321833264015,0.5892349010850866,0.5875987091454272
2020_11_18,0.5675803111343908,0.5485476454757108,0.5683761205842688,0.5793189871097291,0.583583287026087
2020_11_19,0.5748917028351749,0.5430789090417338,0.5686481635787087,0.5847912301049554,0.5913750654821606
2020_11_20,0.5754059202990481,0.5520999023520508,0.5739305509532653,0.5865271358331737,0.5897719840977337
2020_11_21,0.5776332872678106,0.5560133413044588,0.5718942841982556,0.5901989200960766,0.5895558038901433
2020_11_22,0.5712915537293809,0.5536623935899517,0.5692321860751225,0.5835818182849731,0.586973778810683
2020_11_23,0.5736226239084256,0.544945738121436,0.5699844431952656,0.5883144604552027,0.5802623844824997
2020_11_24,0.5708194383127526,0.5442484730131337,0.5743346064957685,0.5960702408142999,0.582230668323708
2020_11_25,0.5763266284009125,0.5538795807439604,0.5706405134859921,0.5941519212692711,0.5799354230740489
2020_11_26,0.5928629128811806,0.5649579861514878,0.5925780557205189,0.6213951169168833,0.6124926916435399
2020_11_27,0.578042518377693,0.5436640657924358,0.580394340632325,0.6088110682704191,0.5925862579079362
2020_11_28,0.5710101044346194,0.5348542044789555,0.574696145126867,0.5993110175554507,0.5835635638456441
2020_11_29,0.5651541430916229,0.5362314790387566,0.5701244693518838,0.5946328962981743,0.5808804905329336
2020_11_30,0.5561902157054412,0.5397917037072839,0.5735409405418553,0.595924075403812,0.5848168007038794
