,Cook,Harris,Los Angeles,New York,Orange
2019_9_01,0.567160582998732,0.5408552627976432,0.5635047920496132,0.5902881553690835,0.571623787591283
2019_9_02,0.5659248181614097,0.5343629714077089,0.5649535491174436,0.5892016640450829,0.5657520933206446
2019_9_03,0.5598700064428969,0.5286940861416196,0.5574628249607678,0.5880218563976839,0.5573166620747484
2019_9_04,0.5659522435607547,0.5339577891239978,0.5607608330784162,0.5873468113066963,0.5630143306893401
2019_9_05,0.5709905332488912,0.5379383643229823,0.5610787736967024,0.5935228677335948,0.5686924394091415
2019_9_06,0.5578136718848895,0.5449585477595775,0.5646982298507975,0.6002342464688635,0.5791604244340879
2019_9_07,0.5714676724761099,0.5429901511500153,0.5620152979848202,0.6020944702444205,0.5736928247449241
2019_9_08,0.5647623773992437,0.541171698526127,0.5662561416671319,0.6002581804834478,0.5802131360325945
2019_9_09,0.5593302183007185,0.5364741245428005,0.5620604065347682,0.5986246148217195,0.5679048452510446
2019_9_10,0.5663174298946954,0.5340076161085855,0.5608318065033687,0.5995683182989127,0.5752624462935798
2019_9_11,0.562592900772291,0.5341406534870556,0.5583586398813624,0.578504636300711,0.5677250249106341
2019_9_12,0.5726233794651473,0.550731673545481,0.5720653365604995,0.6018214170968588,0.5857247454377984
2019_9_13,0.5768489664710451,0.5629289363592026,0.5754283419424727,0.6016320474766034,0.5910441566488613
2019_9_14,0.5878770150532052,0.5635379862621634,0.5783750594192325,0.6100765952538696,0.5947773949745907
2019_9_15,0.5717887393078223,0.5480819690070786,0.5698902583785835,0.6022758329710144,0.5832883449281993
2019_9_16,0.5738168764281859,0.5464096266983954,0.5706131582177202,0.6023117811215569,0.5808235769928629
2019_9_17,0.5760965304611406,0.5459959915603968,0.5697207493311723,0.6043050613820782,0.5826835192203894
2019_9_18,0.5783716831976684,0.5394510026388886,0.5691953322487924,0.6033668020366596,0.5847080458617618
2019_9_19,0.5780774447851189,0.513114386028985,0.5757737733919003,0.5995114589298801,0.5920975724205139
2019_9_20,0.576732863114644,0.5347525785039045,0.5781117448667611,0.6029815467660813,0.5906178961932093
2019_9_21,0.581128958432017,0.5487984485169904,0.5776662400084291,0.6123252740860092,0.5996622873163617
2019_9_22,0.5711688530968098,0.550464843612657,0.5746237157998026,0.6091951311305861,0.5852457147922698
2019_9_23,0.57262582826821,0.5445992633281856,0.576577177399666,0.6030988313572672,0.5813145701121089
2019_9_24,0.5737069960524583,0.5485079968136718,0.5723727631061473,0.6110201352988532,0.5820683727504964
2019_9_25,0.5773491032451179,0.5532109525251029,0.5727585671067781,0.6079600614191545,0.5855034694291984
2019_9_26,0.5776095353616096,0.5533549141404769,0.5731522095693938,0.6040827349305417,0.5802658805075217
2019_9_27,0.5752417413637182,0.558172263933912,0.5739334640250439,0.6087917703463572,0.5875723393862163
2019_9_28,0.5798731915701056,0.5571945326743764,0.5736205756763676,0.6082844658442982,0.5966409676654448
2019_9_29,0.578886615869256,0.551523537871633,0.5727677972789372,0.6084450448991189,0.5927040556632509
2019_9_30,0.5724352416866119,0.5428863073761623,0.5721591530678591,0.5974873244799848,0.5838962230945369
