,date,avg_sent_score
0,2019_1_01,0.6587584617547537
1,2019_1_02,0.6055198773243062
2,2019_1_03,0.5950223595905457
3,2019_1_04,0.5949510252118826
4,2019_1_05,0.5945335732388539
5,2019_1_06,0.5982584541008277
6,2019_1_07,0.601816880626303
7,2019_1_08,0.5970710870521815
8,2019_1_09,0.5929589167937988
9,2019_1_10,0.5972507357198829
10,2019_1_11,0.596256843670596
11,2019_1_12,0.605628097121578
12,2019_1_13,0.6082274498316139
13,2019_1_14,0.6035668609309763
14,2019_1_15,0.600052019471084
15,2019_1_16,0.6041971707591143
16,2019_1_17,0.6008631840543194
17,2019_1_18,0.6033342453823651
18,2019_1_19,0.6017025601385071
19,2019_1_20,0.5964814888308364
20,2019_1_21,0.5818618398484923
21,2019_1_22,0.5940450026734393
22,2019_1_23,0.599566426692965
23,2019_1_24,0.6014824974348366
24,2019_1_25,0.6030943068144767
25,2019_1_26,0.6111993557638994
26,2019_1_27,0.6048690022691664
27,2019_1_28,0.5983079466126034
28,2019_1_29,0.587478135743252
29,2019_1_30,0.5920840626028958
30,2019_1_31,0.5867024844119969
