,date,avg_sent_score
0,2019_1_01,0.619716212904003
1,2019_1_02,0.5743537935188108
2,2019_1_03,0.5645687738867716
3,2019_1_04,0.5644417790735342
4,2019_1_05,0.5621807656323502
5,2019_1_06,0.5561398547168225
6,2019_1_07,0.5720757359565581
7,2019_1_08,0.5648899245247793
8,2019_1_09,0.5640979730337079
9,2019_1_10,0.5641511485630867
10,2019_1_11,0.5687153503445195
11,2019_1_12,0.5626133996639127
12,2019_1_13,0.5604131834035899
13,2019_1_14,0.5577527958193355
14,2019_1_15,0.5648613295296786
15,2019_1_16,0.5622849153761442
16,2019_1_17,0.5601542496216126
17,2019_1_18,0.5690430702734859
18,2019_1_19,0.5678362000453143
19,2019_1_20,0.5572087379076132
20,2019_1_21,0.5585479218798177
21,2019_1_22,0.5617837596409407
22,2019_1_23,0.5647997478343727
23,2019_1_24,0.5675186636347098
24,2019_1_25,0.568541232343572
25,2019_1_26,0.5693441005697343
26,2019_1_27,0.5730337344252118
27,2019_1_28,0.5692868662632117
28,2019_1_29,0.5631576223099538
29,2019_1_30,0.5620321812906064
30,2019_1_31,0.5587904125309364
