,Cook,Harris,Los Angeles,New York,Orange
2020_6_01,0.5275539158461462,0.5337420044301862,0.5321881977304863,0.5691642192853321,0.5513688979102886
2020_6_02,0.5333299879875347,0.5288727828888573,0.5390410832815831,0.5491307329852252,0.5513432574439717
2020_6_03,0.5537494016852404,0.5410879681483038,0.5575675639794698,0.5701354391634978,0.5685970973819271
2020_6_04,0.5650959902425577,0.5478512318888521,0.5563563053463774,0.5831071869158877,0.5735166079611518
2020_6_05,0.5626891283897825,0.5489708539659763,0.559261334960328,0.5747544798221159,0.572789353898826
2020_6_06,0.5772834175001613,0.5516545969452448,0.5704523775814057,0.5847425400924595,0.5853899560421733
2020_6_07,0.5670595835721773,0.5510006225663213,0.5753020592064388,0.5864855143029987,0.5817205280286513
2020_6_08,0.5741705607624052,0.5467827628499479,0.5705800507197526,0.5921425609384263,0.5777016774711167
2020_6_09,0.5633835205563009,0.54837275714084,0.5710112202758614,0.5917148564207866,0.5848626998128217
2020_6_10,0.5647249978001829,0.5447303813162888,0.5729688666218329,0.5983048035968942,0.5820810777213845
2020_6_11,0.5693487192069391,0.5498713711415254,0.5712703840054517,0.5966164685185184,0.5776648696764481
2020_6_12,0.5732484260579807,0.5520088682380213,0.5736524180650404,0.606225905670665,0.57762877731764
2020_6_13,0.5786589319948621,0.5502027670850056,0.5723566398851506,0.5953716899807657,0.5966440228328171
2020_6_14,0.5775984445870774,0.5513882108653184,0.575442328510771,0.5997599508327427,0.5945330497912232
2020_6_15,0.5640466693217016,0.5387599643851393,0.5675281845314579,0.5912982208493573,0.5833864808401474
2020_6_16,0.5721409748573579,0.5442284479453974,0.570443799492686,0.5970654523988317,0.5799396142268693
2020_6_17,0.5673188951710014,0.5458831227996251,0.5709461294361369,0.5951029620567084,0.5796574106909032
2020_6_18,0.5686967165739845,0.5492130939018577,0.5694081795487912,0.5914412689167975,0.5768409379016646
2020_6_19,0.5806685172351562,0.5647157491295933,0.5803843309200664,0.6137904728356381,0.5850964393984734
2020_6_20,0.577672997505898,0.5570838082491117,0.5782756849772682,0.6064639206958301,0.5829174493615669
2020_6_21,0.57780202263588,0.5599364429456798,0.5851260117420732,0.6081360959880346,0.5914521815374871
2020_6_22,0.5657997553302814,0.5411275515556198,0.5720048414600649,0.5975429008896648,0.5781779307239057
2020_6_23,0.5670444900440627,0.5385666727969676,0.5698587662656405,0.5976567797262614,0.5742996656247827
2020_6_24,0.5674312502543232,0.545793619979652,0.5682949298747239,0.592361545210166,0.5810717998566991
2020_6_25,0.5687681509984147,0.5410512731808338,0.5721689083962258,0.5947425660377359,0.5781832037050649
2020_6_26,0.5763349729777566,0.5404157091669769,0.5741319432859083,0.600593650271552,0.573794956322311
2020_6_27,0.5803402413039404,0.5467582275842098,0.573192861556962,0.5967090415218581,0.5834165367421923
2020_6_28,0.5695060292866604,0.5487223542177285,0.570968419262873,0.6015814248834707,0.5840493980773968
2020_6_29,0.5744909368020301,0.5564801129697418,0.5755979953453371,0.6063700048591598,0.5774507787175149
2020_6_30,0.5702444131575732,0.5480675705666678,0.5687930467838984,0.5854481824015398,0.5725731583886472
