,date,avg_sent_score
0,2019_1_01,0.6045603878988635
1,2019_1_02,0.5589145823143717
2,2019_1_03,0.558702289740699
3,2019_1_04,0.5519086718338476
4,2019_1_05,0.5557671253305351
5,2019_1_06,0.5520077929426925
6,2019_1_07,0.5408714970279541
7,2019_1_08,0.5563307220143885
8,2019_1_09,0.5561571336650083
9,2019_1_10,0.5616819450904921
10,2019_1_11,0.5640189480957737
11,2019_1_12,0.5680541788731239
12,2019_1_13,0.5568746982880965
13,2019_1_14,0.559322178869577
14,2019_1_15,0.5652494235110418
15,2019_1_16,0.5702943010619469
16,2019_1_17,0.5653405234226228
17,2019_1_18,0.5687656110361741
18,2019_1_19,0.5616112393657829
19,2019_1_20,0.5500853012022511
20,2019_1_21,0.5487216522263838
21,2019_1_22,0.5554952420907839
22,2019_1_23,0.5637605888566605
23,2019_1_24,0.5588812902306187
24,2019_1_25,0.561734175170411
25,2019_1_26,0.5672379693713777
26,2019_1_27,0.5622412084896705
27,2019_1_28,0.5521058434232919
28,2019_1_29,0.5397533235112382
29,2019_1_30,0.5433623873011303
30,2019_1_31,0.5532605365315463
