,Cook,Harris,Los Angeles,New York,Orange
2019_1_01,0.6045603878988632,0.5807945289028964,0.6197162129040026,0.6587584617547535,0.6237153161744783
2019_1_02,0.5589145823143714,0.5380740689059023,0.5743537935188104,0.6055198773243058,0.5810992365509762
2019_1_03,0.5587022897406987,0.5391748865257724,0.5645687738867714,0.5950223595905452,0.571808861288331
2019_1_04,0.5519086718338471,0.5340864405281214,0.5644417790735333,0.5949510252118821,0.5708425383667634
2019_1_05,0.555767125330535,0.533347125488813,0.5621807656323495,0.5945335732388536,0.5740141971183013
2019_1_06,0.5520077929426921,0.5294789953575031,0.5561398547168217,0.5982584541008277,0.5709625703570356
2019_1_07,0.5408714970279542,0.5375312341403612,0.5720757359565579,0.6018168806263028,0.5732919876334421
2019_1_08,0.556330722014388,0.5313921211335922,0.564889924524779,0.5970710870521807,0.5766159016740618
2019_1_09,0.5561571336650082,0.5384167508825678,0.5640979730337077,0.5929589167937985,0.5699721559472684
2019_1_10,0.5616819450904919,0.5334213459393232,0.5641511485630862,0.5972507357198826,0.569702373848352
2019_1_11,0.5640189480957735,0.5402537792558505,0.5687153503445191,0.5962568436705956,0.5788028228112838
2019_1_12,0.5680541788731236,0.540566775887418,0.5626133996639123,0.605628097121578,0.578179105550366
2019_1_13,0.5568746982880963,0.5349156324837191,0.5604131834035899,0.6082274498316133,0.5758044703584078
2019_1_14,0.5593221788695768,0.5342003512958958,0.5577527958193356,0.6035668609309761,0.5675051866879656
2019_1_15,0.5652494235110416,0.5409883669397552,0.5648613295296784,0.6000520194710834,0.574741047412214
2019_1_16,0.5702943010619466,0.542313430067861,0.5622849153761437,0.6041971707591142,0.5672866317497934
2019_1_17,0.5653405234226225,0.5382361849825613,0.5601542496216121,0.6008631840543193,0.5663631320697953
2019_1_18,0.5687656110361738,0.5413726589003108,0.5690430702734852,0.603334245382365,0.5737130316383618
2019_1_19,0.5616112393657825,0.5395307922463711,0.5678362000453139,0.6017025601385066,0.5818543013283738
2019_1_20,0.5500853012022509,0.5318228244742392,0.5572087379076127,0.5964814888308362,0.5663668459336502
2019_1_21,0.5487216522263836,0.5300273801553288,0.5585479218798172,0.5818618398484919,0.5676043582258748
2019_1_22,0.5554952420907838,0.5280192037713729,0.5617837596409404,0.594045002673439,0.5768985176182868
2019_1_23,0.56376058885666,0.5298003288063872,0.5647997478343721,0.5995664266929648,0.5749674335126438
2019_1_24,0.5588812902306185,0.5373043267786789,0.5675186636347095,0.6014824974348362,0.5819250574882212
2019_1_25,0.5617341751704107,0.5456424040364206,0.5685412323435715,0.6030943068144766,0.5879433284753363
2019_1_26,0.5672379693713774,0.5526001384265979,0.5693441005697341,0.611199355763899,0.5966532488873836
2019_1_27,0.56224120848967,0.5408306634193667,0.5730337344252114,0.6048690022691661,0.5933370182238059
2019_1_28,0.5521058434232917,0.5419129031973768,0.5692868662632116,0.5983079466126031,0.5831608183227553
2019_1_29,0.5397533235112377,0.5352325389907439,0.5631576223099536,0.5874781357432522,0.5751808371630357
2019_1_30,0.5433623873011298,0.5403789236179383,0.562032181290606,0.5920840626028954,0.5758972943402011
2019_1_31,0.5532605365315462,0.5362541847758001,0.5587904125309361,0.5867024844119965,0.5731410913602752
