,Cook,Harris,Los Angeles,New York,Orange
2020_3_01,0.5817515004051452,0.5591794117540024,0.576442758577666,0.5951401476097796,0.5941867108613744
2020_3_02,0.5786856006048938,0.5463045563274332,0.5767970801694939,0.5880324418008043,0.5812938046787273
2020_3_03,0.5705495615529789,0.5515156845535978,0.5752752926104707,0.5920479046010766,0.5838642777178397
2020_3_04,0.566977278885419,0.5484094864787344,0.5637620302365549,0.5837452118863048,0.5863561359623305
2020_3_05,0.5731217225049474,0.5543188267154008,0.5689036858415923,0.5884045515509728,0.5853862915036493
2020_3_06,0.5714571292386733,0.5591311930746697,0.5729852141796384,0.5939296859727701,0.5909723105200066
2020_3_07,0.5761536945730971,0.5642837222391768,0.5723429707476012,0.5907362325287984,0.5972564717933312
2020_3_08,0.5790408294323098,0.5492156256473152,0.5771795890148368,0.6038543624049425,0.5931342310314902
2020_3_09,0.5651341460502786,0.5416136961711022,0.5690399248031486,0.5805621911113181,0.5794295657402294
2020_3_10,0.5641906862541424,0.5455147244222358,0.5556315949857926,0.5740768872163353,0.5688323295691451
2020_3_11,0.5482029776320683,0.5249071685401593,0.5528513341694579,0.5684869265040499,0.5621104839719863
2020_3_12,0.528714455338896,0.5092146679883591,0.5253873098720142,0.5372238981791632,0.5342384257233163
2020_3_13,0.5400699454395527,0.5267572675397924,0.5351462746733016,0.5543915711198795,0.5496057349352851
2020_3_14,0.557191812605375,0.5369062315729893,0.5498244159334156,0.5705922239671839,0.5635661620537029
2020_3_15,0.5454747582135773,0.5363879575743599,0.5481819325761141,0.5615342606107507,0.5575543195239914
2020_3_16,0.539529132687628,0.5154511751764064,0.5388524142892863,0.5561216379145851,0.5479060402612824
2020_3_17,0.5541670992613527,0.5248734762666465,0.5461780753889569,0.565648820569954,0.547714219003805
2020_3_18,0.5526578475393559,0.5358301059818729,0.5494622446707464,0.5656787306454791,0.5521997623669744
2020_3_19,0.5603911753795086,0.540654560462253,0.5557536377057879,0.5764383197345302,0.5614743845344877
2020_3_20,0.5607117544322546,0.5400844307283761,0.5552741078641882,0.5815981233077688,0.5638499539116736
2020_3_21,0.5711770779945662,0.54303781037067,0.5654424058687111,0.5893388332156472,0.5694839319543067
2020_3_22,0.5640685655561248,0.5449596944444443,0.5618017526438589,0.586070769934351,0.5686250816618909
2020_3_23,0.5560006279342121,0.5360121062435044,0.5515136149999044,0.5690927896383867,0.5560128868631685
2020_3_24,0.5577766901838928,0.5375895128368022,0.5586810396412513,0.5789737358262965,0.5586665732125367
2020_3_25,0.5615930987836529,0.5412072314789579,0.562465814262865,0.5800301034893496,0.5710049746202776
2020_3_26,0.5632437643700786,0.541146940873942,0.5621648928584445,0.5816549989082969,0.5718335416814683
2020_3_27,0.5667197140769114,0.5498203344426564,0.5691267719930453,0.5814756725741239,0.5737092338036625
2020_3_28,0.567511089986996,0.5468578620185658,0.5637011824680553,0.5857252611903239,0.5716270123386841
2020_3_29,0.5685570148841673,0.5400538774257154,0.5647092011594441,0.5830659950446788,0.5691755434516522
2020_3_30,0.5623573355228583,0.5394406824300316,0.5607699272227271,0.5822726396069214,0.5696145181267878
2020_3_31,0.569711726813175,0.5429208020091106,0.5641641542996612,0.5801487864140149,0.5682404366706876
