,Cook,Harris,Los Angeles,New York,Orange
2019_2_01,0.561404126266008,0.5462656902344991,0.5725605272015083,0.6007410602694594,0.5851295120973726
2019_2_02,0.5674713373240641,0.5477487965988791,0.561417478290435,0.6059532198790506,0.5810312854634831
2019_2_03,0.5616471952809278,0.5423484646614254,0.565064361352559,0.6083189788295216,0.5772024302010331
2019_2_04,0.549951675878162,0.5290802594177474,0.5546960210348043,0.5972459854933563,0.5612466478397174
2019_2_05,0.5628611550390871,0.5385221275321783,0.5712279299677514,0.60466860414221,0.5810256149321267
2019_2_06,0.5605267533140514,0.5498656325929597,0.5693971437703316,0.6032021493953331,0.5753974847799449
2019_2_07,0.568974870507421,0.5510758773188652,0.5707326235809163,0.6005017129542956,0.5793134036426282
2019_2_08,0.5712569258067175,0.5484271225225851,0.5730322496956471,0.6084239056031474,0.5838951414524921
2019_2_09,0.5729312164894872,0.5467934978879411,0.5756310423878174,0.6150592074198985,0.5878711680862249
2019_2_10,0.5654164750628079,0.5429837292173472,0.5748614852408259,0.6140948816295572,0.5795890618193635
2019_2_11,0.5703855725021119,0.5464692240728584,0.5811421810375861,0.6050194918516495,0.5824366272914823
2019_2_12,0.5611596745140977,0.5386033190510583,0.570879840998781,0.6021559346947931,0.5768145993697589
2019_2_13,0.5651060033967389,0.5458446356951867,0.5699559678886621,0.6031936801960863,0.5750181995477114
2019_2_14,0.5892483769438942,0.5602380890627188,0.5824593591585181,0.6178010217684969,0.5915615539671523
2019_2_15,0.5724769330529994,0.5504589978492226,0.5808224929407284,0.6026347298547161,0.5902800489232802
2019_2_16,0.5728213672806065,0.5493337939617788,0.5745062791018449,0.6209975073720726,0.5898886821683788
2019_2_17,0.5627631511462589,0.5409791021286675,0.5736963664133369,0.6143052618396352,0.5888068380150308
2019_2_18,0.5632735017299557,0.5367823649098419,0.5700725009622549,0.6113207789457799,0.5835165732470446
2019_2_19,0.5563398670725517,0.5341403700646082,0.5644355080564111,0.5935556650107409,0.5778887930595838
2019_2_20,0.5652355743509379,0.5413202402404628,0.5692458942531085,0.6025027291440498,0.5818989176571311
2019_2_21,0.5614488269861179,0.5382288096125443,0.5662050226124218,0.5951269862522167,0.5780402109330004
2019_2_22,0.5711397702856673,0.549346471691758,0.5717247320546117,0.5991715185140363,0.5842801289865687
2019_2_23,0.5716828124888568,0.5528330422081609,0.5749967193272285,0.6012272130559537,0.5946263827448197
2019_2_24,0.5646083656567572,0.5451925742599197,0.5796675628183993,0.6031351376105699,0.590357195542541
2019_2_25,0.5807104888294979,0.5418304966657972,0.5953452520864432,0.6078448024925811,0.5926096741028125
2019_2_26,0.5699364584981899,0.5371594489544046,0.5663193629820299,0.5959468593246579,0.5788639427432778
2019_2_27,0.5746579266390242,0.5370807282072505,0.5718168488175943,0.5998235104889648,0.5785959534660586
2019_2_28,0.5669184173057683,0.5401399369126583,0.5717520217684297,0.5971670302077738,0.5765395810893656
