,Cook,Harris,Los Angeles,New York,Orange
2019_12_01,0.5634563924837825,0.5340082469765458,0.5600210240480197,0.5830602695092025,0.5683686517798581
2019_12_02,0.5635507916847116,0.5331497565712758,0.5601102436908073,0.5856719315812228,0.566533433733449
2019_12_03,0.5692674398526422,0.5356344371302607,0.5623383207630498,0.5894858397287163,0.5745043018544937
2019_12_04,0.5718888821455083,0.5381694802542307,0.5595952469994403,0.5937598418371826,0.5726871150621727
2019_12_05,0.5786392354182816,0.5478730478342212,0.569709821880934,0.5957642740526004,0.5860829452900037
2019_12_06,0.5738335010315113,0.5352197733004574,0.5677850439006895,0.5997645489526501,0.5841105250242692
2019_12_07,0.5788640818909714,0.5454220665471204,0.5672727442762696,0.5957198624145059,0.5858908223041874
2019_12_08,0.5583730059923643,0.5322262609632248,0.5584833839232834,0.596209043315062,0.571858826357208
2019_12_09,0.5585432811436349,0.5333991766195879,0.5610249201520238,0.5878615324962376,0.5770428384401113
2019_12_10,0.5603632860922687,0.5380306877139449,0.5645768851829825,0.5886135705938779,0.5742993408688699
2019_12_11,0.5614820801523035,0.5386885423457016,0.5672991144737067,0.591595904543941,0.5763190068512071
2019_12_12,0.5647226864498006,0.5482239766785225,0.5666322093645829,0.592096168237049,0.5750023781749254
2019_12_13,0.5687502293932907,0.5463120380369434,0.5699939240754228,0.599144276456798,0.581884245392398
2019_12_14,0.5696839381614235,0.5496622499506649,0.5650028835889959,0.5929227310264462,0.5865865033327634
2019_12_15,0.5621031498226946,0.5424454686726788,0.5623500961701206,0.5985417536536819,0.5797343843927287
2019_12_16,0.5618132215612227,0.5351365269190282,0.5615508792690016,0.5942699811977057,0.5794928129428435
2019_12_17,0.5622099189028615,0.5365594194154022,0.5636893365443698,0.5863263486295585,0.5772473176532152
2019_12_18,0.5640528822031933,0.5417119418762859,0.5613459895641276,0.5864363465371943,0.5785031024670962
2019_12_19,0.5614367067822316,0.5396897072891301,0.5619563537167651,0.5835742380543137,0.5751709527498847
2019_12_20,0.571647776326207,0.5447686213294318,0.5673875739738883,0.5970939392290878,0.5858194111229227
2019_12_21,0.5622766182088937,0.5395306480364396,0.5664036161532384,0.6033705860784688,0.583882195127878
2019_12_22,0.5681390979808817,0.534945284360189,0.5623020536782382,0.5980531867854211,0.578883264901073
2019_12_23,0.5581968955606006,0.5391411997219644,0.5582447671078017,0.5963062669944055,0.5740399484949834
2019_12_24,0.5585976697676754,0.5388781028543702,0.5679763297927146,0.6062662794464849,0.585587789420863
2019_12_25,0.5962175855040266,0.5666414541758421,0.6000482114146071,0.6460232431056098,0.6295726866030141
2019_12_26,0.5619302258788333,0.5360158886283202,0.5587705270984591,0.6027448571629115,0.5857711688595195
2019_12_27,0.5576764244167799,0.5306143135727842,0.5591553641727112,0.5931192728745875,0.5691761680925126
2019_12_28,0.5612296118103571,0.5362710570798811,0.5618147810665354,0.595040092318101,0.5804204455866907
2019_12_29,0.5550827034612236,0.5342681831247622,0.5569151175443281,0.5921581474106039,0.5743128355323021
2019_12_30,0.5567838908313718,0.5300437547355814,0.5626801174039948,0.5936080329318155,0.5821576896438353
2019_12_31,0.5686794512749551,0.5401115275042032,0.5726027726126747,0.6093481805231942,0.5914896319091217
