,year,month,day,num_geo_posts,num_sent_posts,num_common_posts
0,2014,1,1,3798960,4007439,3760093
1,2014,1,2,3660217,3862275,3622859
2,2014,1,3,3751148,3958932,3714462
3,2014,1,4,3763326,3967297,3726537
4,2014,1,5,3775819,3981354,3738946
5,2014,1,6,3769385,3966265,3733227
6,2014,1,7,3757263,3956670,3721549
7,2014,1,8,3742895,3951627,3706900
8,2014,1,9,3647916,3868886,3612899
9,2014,1,10,3710765,3945108,3675219
10,2014,1,11,3748677,3967030,3710592
11,2014,1,12,3768295,3977376,3728776
12,2014,1,13,3733943,3955723,3697758
13,2014,1,14,3709705,3938049,3672601
14,2014,1,15,3707321,3929140,3669509
15,2014,1,16,3699454,3916564,3662953
16,2014,1,17,2631532,2770803,2606002
17,2014,1,18,57,66,55
18,2014,1,19,58,61,55
19,2014,1,20,60,68,59
20,2014,1,21,1301823,1357073,1287925
21,2014,1,22,2888186,2983374,2858366
22,2014,1,23,3716173,3857640,3679341
23,2014,1,24,3737861,3889586,3700547
24,2014,1,25,3758344,3911150,3718092
25,2014,1,26,3776061,3918580,3734340
26,2014,1,27,3705638,3850617,3668879
27,2014,1,28,3742453,3895539,3704206
28,2014,1,29,3699675,3839491,3663084
29,2014,1,30,3717651,3862871,3680753
30,2014,1,31,3737741,3889169,3700587
31,2014,2,1,3754875,3926548,3716029
32,2014,2,2,3781412,3924926,3740895
33,2014,2,3,3755296,3898284,3718286
34,2014,2,4,3696332,3846762,3658766
35,2014,2,5,3655848,3797234,3619259
36,2014,2,6,3711925,3860912,3674788
37,2014,2,7,3704623,3856928,3667043
38,2014,2,8,3729364,3880639,3688925
39,2014,2,9,3743245,3884526,3701179
40,2014,2,10,3730141,3871412,3690850
41,2014,2,11,3703048,3847288,3664759
42,2014,2,12,3656507,3799286,3619355
43,2014,2,13,3727704,3866058,3689586
44,2014,2,14,3721569,3864177,3680798
45,2014,2,15,3713590,3861275,3670757
46,2014,2,16,3734947,3870987,3691851
47,2014,2,17,3719335,3861810,3677659
48,2014,2,18,3657370,3799293,3617792
49,2014,2,19,3570042,3698731,3532548
50,2014,2,20,3660734,3790341,3622900
51,2014,2,21,3582029,3737286,3544203
52,2014,2,22,3522747,3667344,3485557
53,2014,2,23,3689355,3821304,3647308
54,2014,2,24,3628024,3765109,3589262
55,2014,2,25,3610505,3742770,3572641
56,2014,2,26,3363236,3489851,3328582
57,2014,2,27,3602982,3731979,3565678
58,2014,2,28,3610680,3751691,3574013
59,2014,3,1,3679722,3823478,3639813
60,2014,3,2,3595653,3727055,3554022
61,2014,3,3,3651541,3781434,3611645
62,2014,3,4,3685631,3822916,3645293
63,2014,3,5,3481581,3606362,3444624
64,2014,3,6,3672845,3803793,3633725
65,2014,3,7,3660142,3805885,3621337
66,2014,3,8,3656708,3810817,3615969
67,2014,3,9,3653694,3785523,3611375
68,2014,3,10,3687384,3826493,3646965
69,2014,3,11,3568961,3705246,3529719
70,2014,3,12,3658272,3801651,3618955
71,2014,3,13,3691711,3832252,3652157
72,2014,3,14,3681553,3831221,3642664
73,2014,3,15,7128069,7425512,7051220
74,2014,3,16,8330003,8598310,8237469
75,2014,3,17,7291439,7558722,7213286
76,2014,3,18,7352106,7635002,7274439
77,2014,3,19,8068215,8364118,7984868
78,2014,3,20,8141339,8422751,8058678
79,2014,3,21,8113443,8412909,8032373
80,2014,3,22,8200464,8507068,8113982
81,2014,3,23,8726533,9036378,8632322
82,2014,3,24,7481453,7741958,7401116
83,2014,3,25,7919921,8204963,7838521
84,2014,3,26,7980597,8272040,7897556
85,2014,3,27,7971693,8286806,7887782
86,2014,3,28,7927157,8284902,7842401
87,2014,3,29,7928334,8284426,7841179
88,2014,3,30,7855672,8187395,7764907
89,2014,3,31,7511135,7828693,7429958
90,2014,4,1,7266779,7597644,7188059
91,2014,4,2,7417791,7751868,7338598
92,2014,4,3,7645030,7938875,7561578
93,2014,4,4,7757547,8072895,7674351
94,2014,4,5,7859974,8184979,7771093
95,2014,4,6,8139188,8461352,8043280
96,2014,4,7,7798588,8097813,7711112
97,2014,4,8,7502938,7803365,7421154
98,2014,4,9,7483108,7791291,7401011
99,2014,4,10,7359253,7649397,7278479
100,2014,4,11,7440547,7769897,7359740
101,2014,4,12,7532200,7855172,7445878
102,2014,4,13,7926849,8236555,7835139
103,2014,4,14,7549139,7851365,7461758
104,2014,4,15,8131615,8469141,8036109
105,2014,4,16,8153620,8504232,8060467
106,2014,4,17,7894436,7498176,7125037
107,2014,4,18,8190717,0,0
108,2014,4,19,8207656,0,0
109,2014,4,20,8460640,0,0
110,2014,4,21,8052387,0,0
111,2014,4,22,8265774,0,0
112,2014,4,23,8295021,0,0
113,2014,4,24,8150232,0,0
114,2014,4,25,8147959,0,0
115,2014,4,26,8098439,0,0
116,2014,4,27,8590033,0,0
117,2014,4,28,8120591,0,0
118,2014,4,29,8437197,0,0
119,2014,4,30,8326996,0,0
120,2014,5,1,8455783,0,0
121,2014,5,2,8074510,0,0
122,2014,5,3,8200946,0,0
123,2014,5,4,8533915,0,0
124,2014,5,5,8283170,0,0
125,2014,5,6,8114106,0,0
126,2014,5,7,8042797,0,0
127,2014,5,8,8083444,0,0
128,2014,5,9,7586043,0,0
129,2014,5,10,8372965,0,0
130,2014,5,11,8425698,0,0
131,2014,5,12,8014093,0,0
132,2014,5,13,8049786,0,0
133,2014,5,14,7844200,0,0
134,2014,5,15,8105797,0,0
135,2014,5,16,7865883,0,0
136,2014,5,17,8097412,0,0
137,2014,5,18,8175950,0,0
138,2014,5,19,8008277,0,0
139,2014,5,20,7890621,0,0
140,2014,5,21,7993963,0,0
141,2014,5,22,8289266,0,0
142,2014,5,23,8264504,0,0
143,2014,5,24,9067249,0,0
144,2014,5,25,8926131,0,0
145,2014,5,26,8592433,0,0
146,2014,5,27,8875728,0,0
147,2014,5,28,8872162,0,0
148,2014,5,29,8926238,0,0
149,2014,5,30,8777862,0,0
150,2014,5,31,8952361,0,0
151,2014,6,1,9302332,0,0
152,2014,6,2,9102060,0,0
153,2014,6,3,8959631,0,0
154,2014,6,4,9065074,0,0
155,2014,6,5,8996307,0,0
156,2014,6,6,9193834,0,0
157,2014,6,7,9000966,0,0
158,2014,6,8,9392745,0,0
159,2014,6,9,9085981,0,0
160,2014,6,10,8164812,0,0
161,2014,6,11,8322055,0,0
162,2014,6,12,9125404,0,0
163,2014,6,13,7861055,0,0
164,2014,6,14,3027474,0,0
165,2014,6,15,3000705,0,0
166,2014,6,16,3102369,0,0
167,2014,6,17,2834364,0,0
168,2014,6,18,2851071,0,0
169,2014,6,19,2925512,0,0
170,2014,6,20,2876110,0,0
171,2014,6,21,3087712,0,0
172,2014,6,22,3025063,0,0
173,2014,6,23,2805142,0,0
174,2014,6,24,2895165,0,0
175,2014,6,25,2818875,0,0
176,2014,6,26,2947594,0,0
177,2014,6,27,2674043,0,0
178,2014,6,28,1919594,0,0
179,2014,6,29,1859623,0,0
180,2014,6,30,1418297,0,0
181,2014,7,1,3578054,0,0
182,2014,7,2,9546270,0,0
183,2014,7,3,9595954,0,0
184,2014,7,4,10300247,0,0
185,2014,7,5,9604091,0,0
186,2014,7,6,9563406,0,0
187,2014,7,7,9752618,0,0
188,2014,7,8,10326595,0,0
189,2014,7,9,10173840,0,0
190,2014,7,10,9807246,0,0
191,2014,7,11,10048255,0,0
192,2014,7,12,10064946,0,0
193,2014,7,13,11110904,0,0
194,2014,7,14,9729867,0,0
195,2014,7,15,9989713,0,0
196,2014,7,16,9774551,0,0
197,2014,7,17,9965177,0,0
198,2014,7,18,9774673,0,0
199,2014,7,19,9511377,0,0
200,2014,7,20,9626389,0,0
201,2014,7,21,9789792,0,0
202,2014,7,22,10214031,0,0
203,2014,7,23,10276154,0,0
204,2014,7,24,10287048,0,0
205,2014,7,25,9957247,0,0
206,2014,7,26,9729897,0,0
207,2014,7,27,10053778,0,0
208,2014,7,28,9933844,0,0
209,2014,7,29,10042555,0,0
210,2014,7,30,9974960,0,0
211,2014,7,31,10110975,0,0
