,year,month,day,num_geo_posts,num_sent_posts,num_common_posts
0,2015,1,1,6772377,7033347,6772377
1,2015,1,2,6798624,7040550,6798623
2,2015,1,3,6939489,7188683,6939489
3,2015,1,4,7349366,7609473,7349365
4,2015,1,5,7170502,7414078,7170501
5,2015,1,6,5669331,5878064,5669331
6,2015,1,7,6875452,7118895,6875451
7,2015,1,8,6720072,6962283,6720071
8,2015,1,9,6627475,6867526,6627474
9,2015,1,10,6717684,6972698,6717684
10,2015,1,11,7208951,7470667,7208950
11,2015,1,12,6828140,7069893,6828140
12,2015,1,13,6629985,6859825,6629984
13,2015,1,14,6495638,6734714,6495638
14,2015,1,15,6508945,6739683,6508944
15,2015,1,16,6516464,6743105,6516464
16,2015,1,17,6485653,6734860,6485652
17,2015,1,18,7028387,7285294,7028386
18,2015,1,19,6669472,6907580,6669472
19,2015,1,20,6518909,6755234,6518909
20,2015,1,21,5385352,5553452,5385351
21,2015,1,22,4765250,4932214,4765250
22,2015,1,23,4768728,4943925,4768727
23,2015,1,24,4814488,4982524,4814488
24,2015,1,25,4954012,5123942,4954011
25,2015,1,26,5040542,5208792,5040540
26,2015,1,27,4576959,4727099,4576957
27,2015,1,28,4419727,4572343,4419726
28,2015,1,29,4391326,4545330,4391326
29,2015,1,30,4773107,4940688,4773107
30,2015,1,31,4812053,4989737,4812053
31,2015,2,1,6825684,7067769,6825681
32,2015,2,2,7387307,7626676,7387307
33,2015,2,3,6491459,6721744,6491458
34,2015,2,4,6475138,6705622,6475137
35,2015,2,5,6371934,6601676,6371934
36,2015,2,6,5194400,5388565,5194399
37,2015,2,7,5509324,5718158,5509324
38,2015,2,8,5627112,5826788,5627111
39,2015,2,9,5541257,5746580,5541257
40,2015,2,10,5259457,5444931,5259455
41,2015,2,11,5299819,5492595,5299816
42,2015,2,12,5210643,5401227,5210643
43,2015,2,13,5381332,5599782,5381331
44,2015,2,14,5584355,5799665,5584355
45,2015,2,15,5563130,5763740,5563129
46,2015,2,16,5465470,5657152,5465469
47,2015,2,17,5535799,5738064,5535799
48,2015,2,18,5618830,5805677,5618828
49,2015,2,19,5728095,5919216,5728095
50,2015,2,20,5622462,5833694,5622462
51,2015,2,21,5693425,5909052,5693425
52,2015,2,22,5929829,6131674,5929826
