,year,month,day,num_geo_posts,num_sent_posts,num_common_posts
0,2018,1,1,511745,535887,511745
1,2018,1,2,276795,290660,276795
2,2018,1,3,47501,48891,47501
3,2018,1,4,56281,57988,56281
4,2018,1,5,309967,325923,309967
5,2018,1,6,452309,472400,452309
6,2018,1,7,444402,465207,444402
7,2018,1,8,418393,439366,418393
8,2018,1,9,388887,408609,388887
9,2018,1,10,380049,399214,380049
10,2018,1,11,408840,431303,408840
11,2018,1,12,459852,484223,459852
12,2018,1,13,569619,597632,569619
13,2018,1,14,547322,576047,547322
14,2018,1,15,512108,537662,512108
15,2018,1,16,485325,509765,485324
16,2018,1,17,505085,529559,505085
17,2018,1,18,534244,561642,534243
18,2018,1,19,570222,597598,570222
19,2018,1,20,589762,616378,589762
20,2018,1,21,588084,615476,588084
21,2018,1,22,456482,480627,456482
22,2018,1,23,366450,386950,366450
23,2018,1,24,454489,477376,454489
24,2018,1,25,492220,520458,492220
25,2018,1,26,519148,548013,519147
26,2018,1,27,547846,575235,547846
27,2018,1,28,510415,536704,510415
28,2018,1,29,312694,331186,312694
29,2018,1,30,405596,426728,405596
30,2018,1,31,520376,546995,520376
31,2018,2,1,503814,532168,503814
32,2018,2,2,505597,531489,505597
33,2018,2,3,586499,615307,586499
34,2018,2,4,568314,597183,568314
35,2018,2,5,459431,483634,459431
36,2018,2,6,488544,514630,488544
37,2018,2,7,522245,549370,522245
38,2018,2,8,552081,584057,552081
39,2018,2,9,574627,606285,574627
40,2018,2,10,592985,621243,592985
41,2018,2,11,561637,589899,561637
42,2018,2,12,583859,611088,583859
43,2018,2,13,546787,573375,546787
44,2018,2,14,593424,621992,593424
45,2018,2,15,486190,514720,486190
46,2018,2,16,622945,656770,622945
47,2018,2,17,706752,736558,706752
48,2018,2,18,658765,689390,658765
49,2018,2,19,593907,622728,593907
50,2018,2,20,609763,638333,609763
51,2018,2,21,583042,612448,583042
52,2018,2,22,580366,614509,580366
53,2018,2,23,602422,633958,602422
54,2018,2,24,700682,735266,700681
55,2018,2,25,658704,692731,658704
56,2018,2,26,627526,659056,627526
57,2018,2,27,560733,588118,560733
58,2018,2,28,565823,594271,565823
59,2018,3,1,614899,647691,614898
60,2018,3,2,597730,631500,597730
