,year,month,day,num_geo_posts,num_sent_posts,num_common_posts
0,2017,1,1,483844,508229,483844
1,2017,1,2,310593,326286,310593
2,2017,1,3,362791,381035,362791
3,2017,1,4,373651,393341,373651
4,2017,1,5,355903,376153,355903
5,2017,1,6,318665,335231,318665
6,2017,1,7,702595,733385,702595
7,2017,1,8,717794,749447,717794
8,2017,1,9,629290,657949,629290
9,2017,1,10,545354,568887,545354
10,2017,1,11,559086,583796,559086
11,2017,1,12,574743,601536,574743
12,2017,1,13,601048,628432,601048
13,2017,1,14,693374,721346,693374
14,2017,1,15,689834,717887,689834
15,2017,1,16,587849,614439,587849
16,2017,1,17,569257,594677,569257
17,2017,1,18,566487,591397,566487
18,2017,1,19,608120,637712,608120
19,2017,1,20,683059,716556,683059
20,2017,1,21,824836,860679,824836
21,2017,1,22,776821,811184,776821
22,2017,1,23,660642,692319,660642
23,2017,1,24,635759,666474,635759
24,2017,1,25,654991,686137,654991
25,2017,1,26,672861,706121,672861
26,2017,1,27,712312,746976,712312
27,2017,1,28,819522,854831,819522
28,2017,1,29,786423,822277,786423
29,2017,1,30,668554,701599,668554
30,2017,1,31,693887,727392,693887
31,2017,2,1,712875,747101,712875
32,2017,2,2,721189,757816,721189
33,2017,2,3,757179,794122,757179
34,2017,2,4,868703,904853,868703
35,2017,2,5,834456,869840,834455
36,2017,2,6,707678,740004,707678
37,2017,2,7,684849,715990,684849
38,2017,2,8,714754,747779,714754
39,2017,2,9,735269,772463,735269
40,2017,2,10,761736,800201,761735
41,2017,2,11,865970,904271,865970
42,2017,2,12,843678,880996,843678
43,2017,2,13,727156,761448,727156
44,2017,2,14,765862,803046,765862
45,2017,2,15,730878,764902,730878
46,2017,2,16,714542,752058,714542
47,2017,2,17,735246,772414,735246
48,2017,2,18,860599,897755,860599
49,2017,2,19,852728,889873,852728
50,2017,2,20,731041,766337,731041
51,2017,2,21,706022,740698,706022
52,2017,2,22,704482,739662,704481
53,2017,2,23,731600,771960,731600
54,2017,2,24,777829,818280,777829
55,2017,2,25,878980,923377,878980
56,2017,2,26,863093,904764,863092
57,2017,2,27,739248,774487,739248
58,2017,2,28,683299,718000,683299
59,2017,3,1,711712,745396,711712
60,2017,3,2,718183,756325,718183
61,2017,3,3,749396,786931,749396
62,2017,3,4,836410,874058,836409
63,2017,3,5,834547,871854,834547
64,2017,3,6,713529,746829,713529
65,2017,3,7,693918,726650,693917
66,2017,3,8,730470,764705,730470
67,2017,3,9,718204,756020,718204
68,2017,3,10,765475,804203,765475
69,2017,3,11,861804,899741,861804
